,PORT_NAME,INDEX_NO,coords
2700,sandakan,,"((118.07954369291338, 5.797725),)"
2705,mazatlan,,"((-106.40414525528169, 23.197825),)"
2706,point galeota,,"((-61.02900369434348, 10.122245),)"
2708,akita,,"((140.00510989928864, 39.755205000000004),)"
2709,GALVESTON,9150.0,"((-94.81770372651602, 29.32268),)"
2714,akpo offshore terminal,,"((6.83972, 3.13032),)"
2716,GAMBA OIL TERMINAL,46453.0,"((9.987137019578972, -2.83469),)"
2717,sangi,,"((123.62255288072328, 10.383099999999999),)"
2719,gangavaram,,"((83.20751560064934, 17.624195),)"
2720,san jose,,"((-90.84665483846558, 13.907824999999999),)"
2721,SAN JUAN,11110.0,"((-66.12222931519071, 18.432795),)"
2722,albany,,"((-73.75637134510374, 42.614095000000006),)"
2723,PORT NADOR,45762.0,"((-2.92353014118976, 35.274395),)"
2724,san lorenzo,,"((-87.4250781955117, 13.39805),)"
2728,PUERTO SAN MARTIN,13600.0,"((-60.74519191410867, -32.70897),)"
2729,NOWY PORT,28720.0,"((18.70539705942623, 54.380135),)"
2732,GDYNIA,28740.0,"((18.54885144521912, 54.532995),)"
2735,mersin,,"((34.65860065068493, 36.807019999999994),)"
2736,BAHIA SAN NICOLAS,14895.0,"((-75.24267274440783, -15.226885),)"
2737,AL ISKANDARIYH (ALEXANDRIA),45165.0,"((29.82854857983228, 31.1545),)"
2739,SINT NICOLAAS BAAI,11830.0,"((-69.90769325727238, 12.43009),)"
2741,san nicolas,,"((-60.149576565300904, -33.36729),)"
2742,ALGECIRAS,38310.0,"((-5.419185107992607, 36.137625),)"
2743,san pedro,,"((-59.6360802016129, -33.689065),)"
2745,ALGER,45570.0,"((3.0808273860354785, 36.769315),)"
2746,SAN PEDRO DE MACORIS,11030.0,"((-69.26003730942837, 18.440665000000003),)"
2747,gela,,"((14.250901929354338, 37.026845),)"
2749,ALIAGA,43334.0,"((26.927189755065555, 38.84472),)"
2750,SANTA CRUZ DE TENERIFE,38160.0,"((-16.231557755793887, 28.472745),)"
2752,ALICANTE,38440.0,"((-0.5007681315651271, 38.323865),)"
2754,GEMLIK,43340.0,"((29.091187262455062, 40.418835),)"
2755,MIAMI,8640.0,"((-80.15852379342984, 25.78318),)"
2756,al khoms,,"((14.251532708524287, 32.676005),)"
2757,general san martin,,"((-76.28731673682852, -13.803685),)"
2758,SANTA MARTA,11940.0,"((-74.21708039383563, 11.24747),)"
2759,miang besar,,"((117.9634304172291, 0.718835),)"
2760,ALMERIA,38390.0,"((-2.4691663394584125, 36.82509),)"
2761,santana,,"((-51.161330587845455, -0.060475),)"
2762,michilla cove,,"((-70.30564635059761, -22.71884),)"
2764,santander,,"((-3.81331667164179, 43.433975000000004),)"
2766,TANJUNG SANTAN,51815.0,"((117.51587642863053, -0.10514),)"
2767,GEORGETOWN,10580.0,"((-81.3963405148248, 19.30116),)"
2769,MILAZZO,40110.0,"((15.291621443264763, 38.220704999999995),)"
2770,santiago de cuba,,"((-75.86787227297444, 19.994965),)"
2772,geraldton,,"((114.59468665909091, -28.777315),)"
2773,SANTO DOMINGO,11040.0,"((-69.88240346070064, 18.48042),)"
2774,AL SHAHEEN TERMINAL,48298.0,"((52.21544031261665, 26.381974999999997),)"
2775,MILWAUKEE,4860.0,"((-87.89429944970607, 43.0148),)"
2776,gebig,,"((-44.23968331148177, -23.06098),)"
2777,SANTOS,12970.0,"((-46.3608930148943, -23.95038),)"
2778,ALTAMIRA,9355.0,"((-97.85278753452519, 22.458705000000002),)"
2779,santo-pekoa,,"((167.18870136657557, -15.516885),)"
2780,GHAZAOUET,45670.0,"((-1.8657759654291883, 35.101685),)"
2782,MINA AL AHMADI,48361.0,"((48.26900121287963, 29.10832),)"
2783,SANTO THOMAS DE CASTILLA,9625.0,"((-88.61931609503546, 15.720220000000001),)"
2785,alumar,,"((-44.36093146666666, -2.67163),)"
2786,MINA AL FAHL,48255.0,"((58.52837304472297, 23.660035),)"
2787,EUROPA POINT,38330.0,"((-5.366346088388214, 36.09433),)"
2789,alvheim offshore terminal,,"((1.99845, 59.567515),)"
2791,gijon,,"((-5.686433355270713, 43.563135),)"
2794,sao francisco do sul,,"((-48.531688099621036, -26.200035),)"
2795,gimboa offshore terminal,,"((12.167151088560885, -7.54085),)"
2797,amamapare,,"((136.80014077007297, -4.846435),)"
2798,GIRASSOL TERMINAL,46549.0,"((11.732702104345188, -7.6488),)"
2800,LUTONG,51600.0,"((113.85704828263607, 4.52988),)"
2802,AMBON,52720.0,"((128.17500148715416, -3.682195),)"
2803,MISHIMA-KAWANOE KO,62085.0,"((133.5173114874477, 34.01261),)"
2807,amchit,,"((35.62690140772929, 34.140015000000005),)"
2809,sarpom offshore terminal,,"((8.460460000000001, 44.278864999999996),)"
2810,amherstberg,,"((-83.11323556716339, 42.09679),)"
2811,MISRATAH,45320.0,"((15.234225360905187, 32.34461),)"
2814,SAULT STE MARIE,4290.0,"((-84.37628495982278, 46.51214),)"
2815,IJMUIDEN,31040.0,"((4.3176131154282045, 52.468835),)"
2816,CAYO MOA GRANDE,10280.0,"((-74.87244372970517, 20.65515),)"
2817,SAVANNAH,8530.0,"((-81.09326315918855, 32.090875),)"
2819,AMUAY (BAHIA DE AMUAY),12070.0,"((-70.21266334814307, 11.75239),)"
2821,goliat offshore terminal,,"((22.274549999999998, 71.28285),)"
2822,SAVONA,39440.0,"((8.498495178082196, 44.315470000000005),)"
2823,anacortes,,"((-122.5811258431271, 48.498495),)"
2824,mobile,,"((-88.01094548686827, 30.509735),)"
2831,anchorage (usa),,"((-149.89216972628898, 61.23928),)"
2832,moerdijk,,"((4.577898962522852, 51.68515),)"
2835,ANCONA,40660.0,"((13.42528312704626, 43.693560000000005),)"
2836,MOHAMMEDIA,45790.0,"((-7.410241252441216, 33.705205),)"
2837,SEA EAGLE TERMINAL,46180.0,"((5.326750677107592, 4.8063649999999996),)"
2838,mo i rana,,"((14.108132718792593, 66.3187),)"
2839,annaba,,"((7.779947522231697, 36.888065),)"
2841,SEARSPORT,6910.0,"((-68.9083295486111, 44.44928),)"
2844,seattle,,"((-122.35639389094376, 47.580055),)"
2847,sebuku offshore,,"((116.38406009174312, -3.6909099999999997),)"
2849,ANTALYA,44820.0,"((30.606104893796005, 36.81356),)"
2850,MONFALCONE,40790.0,"((13.572483180994553, 45.767525),)"
2851,ANTAN OIL TERMINAL,46225.0,"((8.33263729575056, 4.22286),)"
2853,mongla,,"((89.58734567389757, 22.48359),)"
2854,selaata,,"((35.65270995975531, 34.278825),)"
2857,MONGSTAD,23138.0,"((5.0312346214788715, 60.811275),)"
2858,SEMARANG,51040.0,"((110.41881312286135, -6.91927),)"
2859,HOQUIAM,17080.0,"((-123.89122269193972, 46.95295),)"
2860,monrovia,,"((-10.811521395511921, 6.356365),)"
2861,greater pluotino offshore terminal,,"((12.11113452542373, -7.84638),)"
2864,MONTEGO BAY,10610.0,"((-77.96060830806954, 18.463160000000002),)"
2866,HANSWEERT,31215.0,"((3.787823282608696, 51.33401),)"
2867,MONTEVIDEO,13120.0,"((-56.25373969337149, -34.913),)"
2868,GREEN BAY,4940.0,"((-87.976751233791, 44.548815),)"
2869,anyer,,"((105.93577096680818, -6.025795),)"
2870,sendai,,"((141.0356181838611, 38.269729999999996),)"
2874,GRENAA HAVN,30290.0,"((10.928406285998015, 56.415765),)"
2875,MOREHEAD CITY,8430.0,"((-76.70018369181284, 34.709795),)"
2876,SURABAYA,51130.0,"((112.66275311523194, -7.130825),)"
2878,apar bay,,"((116.66613559437526, -1.951235),)"
2880,itaguai,,"((-43.86173058689658, -22.97554),)"
2883,apia,,"((-171.7688468759303, -13.824205),)"
2886,KUALA BELAIT,51646.0,"((114.28119345427473, 4.74888),)"
2887,motril,,"((-3.5271417256547153, 36.716319999999996),)"
2888,apra,,"((144.65329092306612, 13.43943),)"
2889,GUAIBA ISLAND TERMINAL,12935.0,"((-44.02854892430663, -23.010135),)"
2890,SERPENTINA TERMINAL,46310.0,"((8.110345881298992, 3.77827),)"
2891,MOUDI MARINE TERMINAL,46286.0,"((8.458127507591886, 4.130495),)"
2892,AL AQABAH,48090.0,"((34.962864875283444, 29.44979),)"
2893,GUAMARE OIL TERMINAL,12661.0,"((-36.26833499999999, -4.863334999999999),)"
2894,SETE,38750.0,"((3.719362906425963, 43.40327),)"
2895,MIKINDANI,46970.0,"((40.16454332695916, -10.243535),)"
2897,PORTOCEL,12820.0,"((-40.06842407214049, -19.838815),)"
2898,muanda offshore terminal,,"((12.1285825, -5.982055),)"
2901,muara,,"((115.1063227374147, 4.98142),)"
2903,guaranao,,"((-70.21721723663208, 11.670179999999998),)"
2906,guayabal,,"((-77.6118722823528, 20.661735),)"
2907,seville,,"((-5.996280129218727, 37.35316),)"
2908,muara banyu asin offshore,,"((104.93447491424803, -2.182665),)"
2911,muara pantai offshore,,"((118.15375484829977, 2.002535),)"
2912,RADA DE ARICA,14800.0,"((-70.32805501711468, -18.462045),)"
2913,guayama,,"((-66.15303134868358, 17.94426),)"
2914,sfax,,"((10.77695851091842, 34.715845),)"
2915,muara satui offshore,,"((115.50549687811171, -3.992535),)"
2917,guayanilla,,"((-66.75701122159367, 17.981364999999997),)"
2918,sha lun offshore,,"((121.25480843003774, 25.07679),)"
2920,PUERTO MARITIMO DE GUAYAQUIL,15275.0,"((-79.91421040979158, -2.264535),)"
2921,arrecife,,"((-13.533033123836127, 28.967565),)"
2922,guaymas,,"((-110.87482812626263, 27.9124),)"
2923,ARZEW,45630.0,"((-0.23964465280567648, 35.84111),)"
2924,GULFHAVEN,29546.0,"((11.25525662816392, 55.18628),)"
2925,muldwarka,,"((70.65951777529048, 20.743715),)"
2926,BANDAR-E PARS TERMINAL,48475.0,"((52.55970457627457, 27.506445),)"
2927,gullfaks offshore terminal,,"((2.1910876424680286, 61.18782),)"
2928,shantou,,"((116.78800768211809, 23.31477),)"
2930,aseng offshore terminal,,"((9.139425, 3.37557),)"
2931,shen ao,,"((121.82905013157895, 25.129645),)"
2932,GUSTAVIA,11380.0,"((-62.8523519036128, 17.89707),)"
2933,asgard a offshore terminal,,"((6.7311, 65.07532),)"
2939,SHIBUSHI WAN,62224.0,"((131.0994435340264, 31.44572),)"
2940,HACHINOHE KO,61280.0,"((141.52701874545454, 40.57428),)"
2941,MYKOLAYIV,43670.0,"((32.00665059259259, 46.905730000000005),)"
2945,shidao,,"((122.47369069822486, 36.892235),)"
2948,hadong power station,,"((127.82307784298465, 34.948665),)"
2949,SHIMIZU KO,61460.0,"((138.52227305497445, 35.017755),)"
2951,naantali,,"((22.083439263546797, 60.450595),)"
2953,ASPROPIRGOS,42378.0,"((23.578879754601232, 38.0176),)"
2954,NACALA,46935.0,"((40.66694436069947, -14.460465),)"
2957,haifa,,"((35.02379958537304, 32.82671),)"
2959,TONGUE POINT,16870.0,"((-123.79878162218735, 46.202484999999996),)"
2961,asya port,,"((27.47489960103755, 40.897945),)"
2964,hakata,,"((130.3229684751462, 33.633875),)"
2966,atsumi,,"((137.06615678855985, 34.653715000000005),)"
2967,HAKODATE KO,61190.0,"((140.6722061331431, 41.78201),)"
2968,namikata,,"((132.90408182142858, 34.126425),)"
2969,HALDIA PORT,49555.0,"((88.10959250648139, 22.04179),)"
2970,AL KUWAYT,48370.0,"((47.92157175986842, 29.355215),)"
2971,AUGUSTA,40250.0,"((15.213643172112018, 37.17904),)"
2973,NANAO KO,61840.0,"((137.00155048501665, 37.085955),)"
2979,halmstad,,"((12.841774970588236, 56.65363),)"
2981,aveiro,,"((-8.717397312493866, 40.655770000000004),)"
2982,SIDI KERIR (KURAYR),45172.0,"((29.60939644985511, 31.105784999999997),)"
2983,JAZIRAT HALUL,48295.0,"((52.45996835421266, 25.66104),)"
2984,aviles,,"((-5.918971217474734, 43.573325),)"
2986,zahrani terminal,,"((35.35398732637029, 33.53467),)"
2989,azurite offshore terminal,,"((10.990449908752211, -5.635795),)"
2993,hamilton,,"((-79.83513001709986, 43.282925),)"
2994,bagfas,,"((27.910319787234044, 40.382425),)"
2995,napier,,"((176.93020458937286, -39.476820000000004),)"
2996,hamina,,"((27.171542564102566, 60.533725000000004),)"
2997,PUERTO GALVAN,13840.0,"((-61.626219327442946, -39.333175),)"
2998,naples,,"((14.280067577619658, 40.827955),)"
2999,HAMMERFEST,20920.0,"((23.651798475371947, 70.647845),)"
3000,BAHIA DE LAS MINAS,9875.0,"((-79.82101621969697, 9.392585),)"
3001,NARVIK,22030.0,"((17.41097446129709, 68.42602),)"
3002,AL HAMRIYAH LPG TERMINAL,48274.0,"((55.48058741258741, 25.46912),)"
3003,NASSAU,9990.0,"((-77.31330306256305, 25.078525),)"
3005,SHARJAH OFFSHORE TERMINAL,48272.0,"((55.40551001736865, 25.575544999999998),)"
3006,natal,,"((-35.209350942646864, -5.766220000000001),)"
3007,bajo grande,,"((-71.6170864497195, 10.514825),)"
3011,balao offshore terminal,,"((-79.71667, 0.99167),)"
3015,MIDIA,43568.0,"((28.658314525389372, 44.33846),)"
3018,balder offshore terminal,,"((2.387415, 59.191604999999996),)"
3021,haramachi power station,,"((141.0274235453887, 37.66879),)"
3025,BALIKPAPAN,51840.0,"((116.78520125, -1.2291949999999998),)"
3026,NEMRUT LIMANI BAY,44752.0,"((26.918187734926892, 38.774829999999994),)"
3027,HARSTAD,21610.0,"((16.609112911622717, 68.790155),)"
3028,SKELLEFTEHAMN,27080.0,"((21.271544408622745, 64.67121499999999),)"
3029,balongan,,"((108.43240948520938, -6.30203),)"
3030,nepoui,,"((164.98487975602592, -21.333525),)"
3031,PORT METHANIER,45515.0,"((6.940185632911391, 36.88489),)"
3032,BALTIMORE,8210.0,"((-76.52112625518058, 39.220185),)"
3034,SLAGENSTANGEN,23736.0,"((10.517292304397426, 59.319575),)"
3039,BANDAR ABBAS,48520.0,"((56.107377719345806, 27.099780000000003),)"
3040,havana,,"((-82.36966800718328, 23.148885),)"
3041,bushehr,,"((50.876121955531744, 28.97226),)"
3042,HAY POINT,53405.0,"((149.35121836747567, -21.23282),)"
3044,BANDAR KHOMEYNI,48460.0,"((49.08087383608196, 30.43017),)"
3046,HAZIRA,48790.0,"((72.59684585701538, 21.08874),)"
3047,new haven,,"((-72.9216288880597, 41.280395),)"
3049,NEW LONDON,7500.0,"((-72.0901825, 41.360960000000006),)"
3050,BANDAR TAHERI OFFSHORE TERMINAL,48533.0,"((52.34126257928232, 27.661475000000003),)"
3051,NEW MANGALORE,49030.0,"((74.82923311984689, 12.955020000000001),)"
3052,heidrun offshore terminal,,"((7.350967585802779, 65.332205),)"
3054,bandirma,,"((27.95775193800564, 40.36143),)"
3057,PORT OF SOHAR,48257.0,"((56.635158055290326, 24.500700000000002),)"
3060,baniyas,,"((35.923319678151714, 35.237854999999996),)"
3061,helguvik,,"((-22.562022530603844, 64.02346),)"
3063,banjarmasin,,"((114.56956331444303, -3.590795),)"
3064,EDGEWATER,7750.0,"((-74.04055594794575, 40.705945),)"
3065,helsingborg,,"((12.692466881139488, 56.025205),)"
3066,banjul,,"((-16.574810909776545, 13.44084),)"
3067,ngqura,,"((25.685590363260516, -33.79097),)"
3073,bantry,,"((-9.535916145669315, 51.69711),)"
3074,songkhla,,"((100.57108461898812, 7.253285),)"
3077,BAOBAB MARINE TERMINAL,45970.0,"((-4.5250375, 4.945975000000001),)"
3081,bar,,"((19.082441277974088, 42.097555),)"
3084,SANTA CRUZ DE BARAHONA,11070.0,"((-71.03002756165607, 18.23718),)"
3086,heroya,,"((9.628945324821025, 59.121395),)"
3087,TG. SORONG,53020.0,"((131.23605512576145, -0.861205),)"
3088,BARBER'S POINT,56272.0,"((-158.09033413755833, 21.300415),)"
3089,NIKISKI,19795.0,"((-151.38023040602366, 60.678075),)"
3091,SIRUS OIL TERMINAL,48468.0,"((49.461200101837065, 29.019095),)"
3092,BARCELONA,38550.0,"((2.1745729615255307, 41.326685),)"
3094,ningde,,"((119.69342136635535, 26.719635),)"
3095,BARI,40530.0,"((16.859498916925467, 41.13232),)"
3097,barranquilla,,"((-74.75268920884189, 10.94802),)"
3099,RESERVE,8930.0,"((-90.8463380086094, 30.02537),)"
3101,SOUTHPORT,8480.0,"((-78.00853502470085, 33.912949999999995),)"
3103,south pulau laut,,"((116.01176133480448, -4.02729),)"
3105,N'KOSSA TERMINAL,46473.0,"((11.607655000000001, -5.24925),)"
3107,AL-BASRA OIL TERMINAL,48392.0,"((48.82750005392843, 29.6662),)"
3109,southwold transhipment area,,"((2.134457592578583, 52.3412),)"
3111,basseterre,,"((-62.7197926354131, 17.275455),)"
3112,norne offshore terminal,,"((8.08836, 66.02729500000001),)"
3113,SOYO ANGOLA LNG TERMINAL,46545.0,"((12.342629532826773, -6.1048849999999995),)"
3115,norrkoping,,"((16.24357925491266, 58.619595),)"
3118,stade,,"((9.500124788135594, 53.64431),)"
3119,bataan,,"((120.6109842962398, 14.458455),)"
3120,NORTH PULAU LAUT COAL TERMINAL,51855.0,"((116.28446977661596, -3.21307),)"
3122,batam kota,,"((103.91789000302475, 1.051935),)"
3125,stag offshore,,"((116.25, -20.253335),)"
3126,statfjord offshore terminal,,"((1.889097003990214, 61.26288),)"
3127,BATON ROUGE,8970.0,"((-91.18787299376984, 30.471655),)"
3128,HONG KONG,57840.0,"((114.11976109159025, 22.354190000000003),)"
3132,NOUAKCHOTT,45814.0,"((-16.03128134356399, 18.014364999999998),)"
3133,honiara,,"((159.9601328428581, -9.42772),)"
3135,BATUMI,44350.0,"((41.654607684826, 41.665935000000005),)"
3137,baubau,,"((122.57748045819936, -5.466915),)"
3138,stenungsund,,"((11.792856037728168, 58.074555000000004),)"
3139,novorossiysk,,"((37.82832225460123, 44.6913),)"
3140,HONOLULU,56280.0,"((-157.95689320725785, 21.32422),)"
3145,MADRE DE DEUS,12775.0,"((-38.64261967781528, -12.816955),)"
3146,HYDER,19090.0,"((-130.00012658113093, 55.90287),)"
3147,hoping power station,,"((121.75864252182285, 24.30372),)"
3148,nusantara terminal,,"((106.79986500261917, -5.97372),)"
3150,nuuk,,"((-51.72659223270441, 64.15758),)"
3157,hosan,,"((129.35096796188895, 37.18121),)"
3158,nyhamna,,"((6.943310799999999, 62.848839999999996),)"
3159,PORT DE BECANCOUR,2200.0,"((-72.36793399359885, 46.390545),)"
3160,st. john's,,"((-61.86499804812616, 17.12946),)"
3161,BAYTOWN,9170.0,"((-95.13121109316674, 29.72229),)"
3162,nynashamn,,"((17.969714275510206, 58.924710000000005),)"
3163,bedi bunder,,"((70.06240044293828, 22.599035),)"
3165,hsinta,,"((120.18197938696446, 22.852694999999997),)"
3167,BEIHAI,57750.0,"((109.04456975826598, 21.46509),)"
3172,stockholm,,"((18.13865134273938, 59.342455),)"
3173,huaheng power station,,"((116.65984046843177, 23.180799999999998),)"
3174,beira,,"((34.834500584926026, -19.817735),)"
3176,hualien,,"((121.62319942540323, 23.973959999999998),)"
3177,beirut,,"((35.5407287433452, 33.939905),)"
3178,ODUDU TERMINAL,46235.0,"((7.781325000000001, 3.9533),)"
3179,BEJAIA,45550.0,"((5.095715234344738, 36.74454),)"
3180,STUDSTRUP,30285.0,"((10.348257085062237, 56.249695),)"
3184,STURA,23139.0,"((4.856877447643981, 60.617819999999995),)"
3186,belawan,,"((98.70097065860236, 3.78974),)"
3188,belem,,"((-48.49058755801688, -1.3276400000000002),)"
3189,HUELVA,38220.0,"((-6.936728819487438, 37.197585000000004),)"
3190,SU-AO,57900.0,"((121.89423806142668, 24.59186),)"
3192,huilai power station,,"((116.54904138952163, 22.99731),)"
3193,PORTO DE SUAPE,12740.0,"((-34.94674647878469, -8.378425),)"
3195,SUBIC BAY,58395.0,"((120.2557269849537, 14.807555),)"
3196,OKHA,48670.0,"((69.08910264340176, 22.48731),)"
3199,okha offshore,,"((116.446665, -19.58889),)"
3200,PORT DALRYMPLE,54940.0,"((146.84825025587566, -41.1632),)"
3202,OKONO TERMINAL,46238.0,"((7.290887218412943, 3.988585),)"
3203,okoro offshore terminal,,"((7.826720013401233, 4.4054400000000005),)"
3206,SUNDSVALL,25910.0,"((17.362305283761394, 62.39323),)"
3210,OKWORI TERMINAL,46240.0,"((6.939924914254203, 3.8598850000000002),)"
3212,ibiza,,"((1.444660045312733, 38.90998),)"
3217,PELABUHAN SUNGAI UDANG,49962.0,"((102.11265, 2.2323500000000003),)"
3219,BENOA,51260.0,"((115.23684147027895, -8.751445),)"
3222,SUNNDALSORA,23105.0,"((8.536066, 62.68681),)"
3227,berbera,,"((44.97723979861814, 10.4337),)"
3228,illichivsk,,"((30.64456033199195, 46.342805),)"
3229,omaezaki,,"((138.2245335887926, 34.634645),)"
3230,supsa offshore terminal,,"((41.71100007167681, 42.019504999999995),)"
3232,PUERTO ILO,14840.0,"((-71.37081829235422, -17.652695),)"
3234,suralaya power station,,"((106.02851900048469, -5.88759),)"
3236,ILOILO,59190.0,"((122.59724363659794, 10.696655),)"
3237,ONAHAMA KO,61355.0,"((140.88742716920376, 36.92534),)"
3246,SUVA HARBOR,55540.0,"((178.42089202348066, -18.137005000000002),)"
3248,ima offshore terminal,,"((7.390707789057812, 4.22059),)"
3251,imari,,"((129.81979956395534, 33.337554999999995),)"
3254,imbituba,,"((-48.64725643854749, -28.217545),)"
3255,swinoujscie,,"((14.25671988234319, 53.905135),)"
3256,MERS EL KEBIR,45650.0,"((-0.6540080023375281, 35.72914),)"
3258,PORTO DI ORISTANO,39261.0,"((8.552953098958339, 39.866755),)"
3261,SYDNEY,6000.0,"((-60.25631410731931, 46.18625),)"
3264,szczecin,,"((14.653835344621596, 53.466899999999995),)"
3266,INKOO,28187.0,"((23.9272412080388, 60.017585),)"
3268,bima marine terminal,,"((107.0729675, -5.760755),)"
3269,BALBOA,15410.0,"((-79.57591539395878, 8.9519),)"
3270,OSAKA,61550.0,"((135.4001397929057, 34.64694),)"
3271,TACHIBANA,61965.0,"((134.66423983958276, 33.866254999999995),)"
3274,OSHAWA,2980.0,"((-78.72752425193858, 43.86803),)"
3275,TACOMA,17700.0,"((-122.42362220998925, 47.27585),)"
3276,bissau,,"((-15.580704635140645, 11.848030000000001),)"
3280,BITUNG,52065.0,"((125.15395354007757, 1.42651),)"
3281,IQUIQUE,14760.0,"((-70.15906423245157, -20.19213),)"
3284,bizerte,,"((9.858750384615384, 37.257915),)"
3286,oslo,,"((10.726469297114402, 59.891175),)"
3292,YAKACIK,44803.0,"((36.19260933152178, 36.72944),)"
3293,TAGONOURA KO,61415.0,"((138.69385814853558, 35.14098),)"
3295,ISHIKARI BAY NEW PORT,61245.0,"((141.27366451799543, 43.21406),)"
3296,OTARU KO,61230.0,"((141.01661532570125, 43.208115),)"
3297,bluff,,"((168.35344818902843, -46.59279),)"
3298,ishikawa,,"((127.84717113287323, 26.429105),)"
3301,boca chica,,"((-69.61626347664588, 18.414595),)"
3302,ISKENDERUN,44880.0,"((36.19250733847727, 36.646074999999996),)"
3304,isken power station,,"((35.88227334051724, 36.83626),)"
3305,bodo,,"((14.374305423728794, 67.28533999999999),)"
3307,itacoatiara,,"((-58.48789405731516, -3.134655),)"
3308,bojonegara,,"((106.10884205763867, -5.958615),)"
3310,taishan,,"((112.92265881969587, 21.84355),)"
3312,itajai,,"((-48.71658019001832, -26.877265),)"
3313,PORT OWENDO,46435.0,"((9.494987624087301, 0.30165),)"
3314,ITAQUI,12585.0,"((-44.369833902374666, -2.5615449999999997),)"
3318,bonga offshore terminal,,"((4.616702500000001, 4.52175),)"
3320,OXELOSUND,25280.0,"((17.13396368703008, 58.670065),)"
3321,IWAKUNI KO,61662.0,"((132.2440847948522, 34.187259999999995),)"
3322,bonny island,,"((7.140621454496692, 4.41216),)"
3324,takehara power station,,"((132.9582166369969, 34.335585),)"
3325,BONNY OFFSHORE TERMINAL,46206.0,"((7.184526280787203, 4.15091),)"
3327,oyo offshore terminal,,"((4.589450028503563, 5.386335),)"
3328,IZMIR,44750.0,"((27.129304361319335, 38.442195),)"
3329,BONTANG LNG TERMINAL,51811.0,"((117.55907363642264, 0.10059499999999999),)"
3330,TAKULA TERMINAL,46485.0,"((11.810002484341744, -5.23301),)"
3331,pachi,,"((23.373127600422727, 37.971175),)"
3332,GOTO OIL TERMINAL,11781.0,"((-68.38389833413217, 12.2172),)"
3335,TALARA,15190.0,"((-81.2892723181697, -4.578435000000001),)"
3336,MAYPORT,8570.0,"((-81.5348210665529, 30.360675),)"
3338,BOSTON,7250.0,"((-70.96431384095686, 42.35391),)"
3340,pagbilao grande island,,"((121.74835505314022, 13.88988),)"
3341,jaigarh,,"((73.21415289053436, 17.298975),)"
3342,BOTAS,44870.0,"((35.934372403203696, 36.87744),)"
3343,TAMPA,8670.0,"((-82.50785464300677, 27.770899999999997),)"
3347,tampico,,"((-97.51005965889354, 22.24708),)"
3348,PAITA,15170.0,"((-81.0816856739925, -4.99792),)"
3350,BRAKE,30850.0,"((8.501299932312335, 53.501605),)"
3351,paiton probolinggo power station,,"((113.58135730613755, -7.70735),)"
3354,PALANCA TERMINAL,46547.0,"((12.371181762540832, -7.120139999999999),)"
3355,jasmine venture mv7 offshore,,"((101.25, 11.316665),)"
3358,BREMERHAVEN,30810.0,"((8.566538297800337, 53.54827),)"
3359,JAWAHARLAL NEHRU PORT (NHAVA SHIVA),48845.0,"((72.9428135121114, 18.946235),)"
3360,PUNTA NIZAO OIL TERMINAL,11048.0,"((-70.199725, 18.2075),)"
3362,jayapura,,"((140.72943273006342, -2.5374),)"
3363,PORTO DI PALERMO,40130.0,"((13.534070055703328, 38.212235),)"
3365,MINA JABAL ALI,48276.0,"((55.05742071340188, 25.02074),)"
3366,BREVIK,23660.0,"((9.743168952504874, 59.039055000000005),)"
3367,TANGIER-MEDITERRANEAN,45753.0,"((-5.510965664277041, 35.88637),)"
3370,JABAL AZ ZANNAH/RUWAYS,48282.0,"((52.66636047663552, 24.200865),)"
3371,PALMA DE MALLORCA,38630.0,"((2.637100353773588, 39.558325),)"
3373,PALM BEACH,8610.0,"((-80.05035261165548, 26.76507),)"
3375,NANTONG,59991.0,"((120.38872350321888, 31.99335),)"
3376,BRINDISI,40500.0,"((17.987295846938782, 40.645025000000004),)"
3377,tanjung bara,,"((117.65258319570137, 0.52867),)"
3379,jinshan,,"((121.41041000544712, 30.715035),)"
3382,AVONMOUTH,35060.0,"((-2.721722071716565, 51.504104999999996),)"
3383,merak,,"((105.99782789597083, -5.964195),)"
3385,brofjorden,,"((11.430749908818722, 58.358914999999996),)"
3386,jieh,,"((35.407126395098885, 33.656009999999995),)"
3387,tanjung jati,,"((110.73245043118781, -6.43651),)"
3389,JIZAN,48142.0,"((42.465160413261614, 16.926085),)"
3390,PANJANG,50380.0,"((105.30932053322299, -5.47546),)"
3391,tanjung langsat,,"((103.9899923151722, 1.454685),)"
3392,BROWNSVILLE,9340.0,"((-97.26043301679587, 26.01575),)"
3393,pantoloan,,"((119.85447308646616, -0.7144999999999999),)"
3397,BRUNSWICK,8550.0,"((-81.44161773649294, 31.137345),)"
3398,EL JORF LASFAR,45796.0,"((-8.632756387872693, 33.116820000000004),)"
3399,tanjung uban,,"((104.21071119811242, 1.073945),)"
3400,PAPEETE,55840.0,"((-149.56908487325177, -17.516525),)"
3403,PARADIP,49535.0,"((86.62512704692267, 20.23417),)"
3404,JOSE TERMINAL,12180.0,"((-64.84062176204597, 10.135539999999999),)"
3407,paramaribo,,"((-55.13044526369863, 5.824325),)"
3409,jose ignacio oil terminal,,"((-54.7125, -34.895275),)"
3410,PARANAGUA,12980.0,"((-48.49018738158438, -25.525885000000002),)"
3413,jotun a offshore terminal,,"((2.38636, 59.455254999999994),)"
3414,tarahan,,"((105.34153010172548, -5.513005),)"
3415,paranam,,"((-55.07283250263807, 5.633925),)"
